"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 10:43:07 IST 2022","Wed Nov 16 10:43:30 IST 2022","22400","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that clicking on Back arrow in breadcrumbs of Create Playbook form shows 'Work not saved' modal-Dark","Verify that clicking on Back arrow in breadcrumbs of Create Playbook form shows 'Work not saved' modal-Dark",""
"passed","Tue Nov 15 15:07:24 IST 2022","Tue Nov 15 15:08:22 IST 2022","57923","","Incident Test Dark theme","","Incident Test Dark theme","Verify the validation messages in Incident Description modal from Incident Summary right panel-Dark","Verify the validation messages in Incident Description modal from Incident Summary right panel-Dark",""
"passed","Wed Nov 16 02:32:17 IST 2022","Wed Nov 16 02:34:07 IST 2022","110559","","Playbook Test Light theme","","Playbook Test Light theme","Verify that User is able to see My Playbooks when 'My Playbooks' toggle is ON in Published Playbooks-Light","Verify that User is able to see My Playbooks when 'My Playbooks' toggle is ON in Published Playbooks-Light",""
"passed","Tue Nov 15 13:56:31 IST 2022","Tue Nov 15 13:58:03 IST 2022","91998","","Incident Test Dark theme","","Incident Test Dark theme","Verify that base alerts list gets filtered with different combinations of alert ID filter-Dark","Verify that base alerts list gets filtered with different combinations of alert ID filter-Dark",""
"skipped","Wed Nov 16 10:26:13 IST 2022","Wed Nov 16 10:26:13 IST 2022","2","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify scroll up and down using up and down arrow key in Published Playbooks list-Dark","Verify scroll up and down using up and down arrow key in Published Playbooks list-Dark",""
"failed","Wed Nov 16 02:10:42 IST 2022","Wed Nov 16 02:11:05 IST 2022","23462","","Playbook Test Light theme","","Playbook Test Light theme","Verify that User is able to scroll up and down inside Tags list in Tags field dropdown in Create Playbook form-Light","Verify that User is able to scroll up and down inside Tags list in Tags field dropdown in Create Playbook form-Light",""
"passed","Wed Nov 16 03:20:39 IST 2022","Wed Nov 16 03:21:13 IST 2022","34538","","Playbook Test Light theme","","Playbook Test Light theme","Verify that in clicking on Condition field shows dropdown with 3 options: Block, Incident, Incident.alert-Light","Verify that in clicking on Condition field shows dropdown with 3 options: Block, Incident, Incident.alert-Light",""
"passed","Wed Nov 16 03:03:16 IST 2022","Wed Nov 16 03:03:47 IST 2022","31649","","Playbook Test Light theme","","Playbook Test Light theme","Verify that clicking on 'playbook's name' in breadcrumb of Playbook Editor shows 'Work not saved' modal-Light","Verify that clicking on 'playbook's name' in breadcrumb of Playbook Editor shows 'Work not saved' modal-Light",""
"passed","Wed Nov 16 12:53:25 IST 2022","Wed Nov 16 12:54:29 IST 2022","63401","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify the saved created flow for Dragged blocks with no connection lines in Playbook Editor page is as expected-Dark","Verify the saved created flow for Dragged blocks with no connection lines in Playbook Editor page is as expected-Dark",""
"passed","Wed Nov 16 13:11:59 IST 2022","Wed Nov 16 13:16:02 IST 2022","242580","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that playbook list gets filtered correctly for different combinations of Created on and Updated on filter-Draft Playbooks-Dark","Verify that playbook list gets filtered correctly for different combinations of Created on and Updated on filter-Draft Playbooks-Dark",""
"passed","Tue Nov 15 13:43:27 IST 2022","Tue Nov 15 13:44:13 IST 2022","46346","","Incident Test Dark theme","","Incident Test Dark theme","Verify that user is able to add and apply more than one filter in Base Alerts tab using Base Alerts Add Filter window-Dark","Verify that user is able to add and apply more than one filter in Base Alerts tab using Base Alerts Add Filter window-Dark",""
"passed","Wed Nov 16 10:23:46 IST 2022","Wed Nov 16 10:24:09 IST 2022","23113","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify User should be able to scroll up and down to see list of Published Playbooks in Published Playbooks tab-Dark","Verify User should be able to scroll up and down to see list of Published Playbooks in Published Playbooks tab-Dark",""
"passed","Wed Nov 16 04:18:31 IST 2022","Wed Nov 16 04:22:29 IST 2022","238051","","Playbook Test Light theme","","Playbook Test Light theme","Verify User is able to delete individual Draft Playbook, multiple draft playbooks and all draft playbooks using checkbox-Light","Verify User is able to delete individual Draft Playbook, multiple draft playbooks and all draft playbooks using checkbox-Light",""
"passed","Wed Nov 16 02:06:02 IST 2022","Wed Nov 16 02:06:42 IST 2022","39922","","Playbook Test Light theme","","Playbook Test Light theme","Verify that clicking on Close icon on Work not saved modal keeps User on Create Playbook form (Published and Draft)-Light","Verify that clicking on Close icon on Work not saved modal keeps User on Create Playbook form (Published and Draft)-Light",""
"passed","Wed Nov 16 12:00:55 IST 2022","Wed Nov 16 12:01:35 IST 2022","40232","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that User is able to click, drag and drop the available blocks to main canvas area of Playbook Editor page-Dark","Verify that User is able to click, drag and drop the available blocks to main canvas area of Playbook Editor page-Dark",""
"passed","Wed Nov 16 03:40:43 IST 2022","Wed Nov 16 03:42:08 IST 2022","84916","","Playbook Test Light theme","","Playbook Test Light theme","Verify that user is able to update Filter Block from right panel with valid values, by clicking on Edit button in Read only view of added filter block-Light","Verify that user is able to update Filter Block from right panel with valid values, by clicking on Edit button in Read only view of added filter block-Light",""
"passed","Wed Nov 16 11:04:05 IST 2022","Wed Nov 16 11:04:26 IST 2022","20900","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that clicking on filter search field shows dropdown with quick filter options in Published Playbooks tab-Dark","Verify that clicking on filter search field shows dropdown with quick filter options in Published Playbooks tab-Dark",""
"passed","Mon Nov 14 17:30:49 IST 2022","Mon Nov 14 17:31:14 IST 2022","24685","","Incident Test Light theme","","Incident Test Light theme","Verify that Filter component, My Incidents toggle, View dropdown is shown in Incident Timeline view-Light","Verify that Filter component, My Incidents toggle, View dropdown is shown in Incident Timeline view-Light",""
"passed","Wed Nov 16 02:31:47 IST 2022","Wed Nov 16 02:32:17 IST 2022","30171","","Playbook Test Light theme","","Playbook Test Light theme","Verify that User is be able to see Search Filter component in Published Playbooks and Draft Playbooks tab-Light","Verify that User is be able to see Search Filter component in Published Playbooks and Draft Playbooks tab-Light",""
"passed","Mon Nov 14 17:47:08 IST 2022","Mon Nov 14 17:47:37 IST 2022","28283","","Incident Test Light theme","","Incident Test Light theme","Verify that in Incident Summary right panel, under BASIC INFORMATION, clicking on edit icon of Incident Type field opens Incident Type modal-Light","Verify that in Incident Summary right panel, under BASIC INFORMATION, clicking on edit icon of Incident Type field opens Incident Type modal-Light",""
"passed","Tue Nov 15 14:42:00 IST 2022","Tue Nov 15 14:42:56 IST 2022","56326","","Incident Test Dark theme","","Incident Test Dark theme","Verify that in User Correlation view, clicking on Add+ opens Add Filter modal-Dark","Verify that in User Correlation view, clicking on Add+ opens Add Filter modal-Dark",""
"passed","Tue Nov 15 13:24:06 IST 2022","Tue Nov 15 13:24:36 IST 2022","30287","","Incident Test Dark theme","","Incident Test Dark theme","Verify that Incidents Add Filter modal shows two tabs Add Filter and Saved Filter-Dark","Verify that Incidents Add Filter modal shows two tabs Add Filter and Saved Filter-Dark",""
"passed","Tue Nov 15 14:20:23 IST 2022","Tue Nov 15 14:20:49 IST 2022","25819","","Incident Test Dark theme","","Incident Test Dark theme","Verify that user is able to arrange/sort saved filters list using 'Timestamp' sorting icon in 'Saved Filter' tab's left side section of Incident Add Filter modal-Dark","Verify that user is able to arrange/sort saved filters list using 'Timestamp' sorting icon in 'Saved Filter' tab's left side section of Incident Add Filter modal-Dark",""
"passed","Wed Nov 16 10:58:00 IST 2022","Wed Nov 16 10:58:28 IST 2022","28018","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify User gets a toast notification on deleting selected multiple playbooks successfully-Dark","Verify User gets a toast notification on deleting selected multiple playbooks successfully-Dark",""
"passed","Wed Nov 16 12:10:27 IST 2022","Wed Nov 16 12:11:16 IST 2022","48414","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that User is able to delete the filter block from main canvas area using delete icon available on hovering before adding a filter condition-Dark","Verify that User is able to delete the filter block from main canvas area using delete icon available on hovering before adding a filter condition-Dark",""
"passed","Wed Nov 16 12:12:04 IST 2022","Wed Nov 16 12:12:53 IST 2022","48917","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that user is able to delete Decision block from its right panel before filling the decision right panel-Dark","Verify that user is able to delete Decision block from its right panel before filling the decision right panel-Dark",""
"passed","Wed Nov 16 02:36:12 IST 2022","Wed Nov 16 02:36:50 IST 2022","38657","","Playbook Test Light theme","","Playbook Test Light theme","Verify that clicking on added filters count '3 Filter(s)' opens Add Filter overlay window with same 3 filters shown in Selected Filters section in Published Playbooks tab-Light","Verify that clicking on added filters count '3 Filter(s)' opens Add Filter overlay window with same 3 filters shown in Selected Filters section in Published Playbooks tab-Light",""
"passed","Sat Nov 12 18:10:42 IST 2022","Sat Nov 12 18:11:10 IST 2022","27851","","Connector Test Dark theme","","Connector Test Dark theme","Verify that clicking on a specific Connector row opens Connector Details Right Panel in Enrichment, Ingestion and Response connector tab-Dark","Verify that clicking on a specific Connector row opens Connector Details Right Panel in Enrichment, Ingestion and Response connector tab-Dark",""
"passed","Sat Nov 12 19:35:43 IST 2022","Sat Nov 12 19:36:00 IST 2022","17250","","Dashboard Test Dark theme-SOC Manager","","Dashboard Test Dark theme-SOC Manager","Verify SOC Manager user is able to view the count of 'Total open incidents' in the legend 'Incident Assignment' widget of SOC Manager Dashboard Page.-Dark","Verify SOC Manager user is able to view the count of 'Total open incidents' in the legend 'Incident Assignment' widget of SOC Manager Dashboard Page.-Dark",""
"passed","Sat Nov 12 19:30:32 IST 2022","Sat Nov 12 19:30:45 IST 2022","13390","","Dashboard Test Dark theme-Analyst","","Dashboard Test Dark theme-Analyst","Verify that Analyst is able to view the 6 widget below 'Incident Timeline' view as Analyst Dashboard Page.-Dark","Verify that Analyst is able to view the 6 widget below 'Incident Timeline' view as Analyst Dashboard Page.-Dark",""
"failed","Mon Nov 14 18:24:15 IST 2022","Mon Nov 14 18:25:19 IST 2022","63836","","Incident Test Light theme","","Incident Test Light theme","Verify that user is able to filter incidents list by single incident id and multiple incident ids-Light","Verify that user is able to filter incidents list by single incident id and multiple incident ids-Light",""
"passed","Wed Nov 16 10:53:19 IST 2022","Wed Nov 16 10:53:42 IST 2022","22350","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that clicking on Back arrow in breadcrumbs of Edit Playbook form shows 'Work not saved' modal-Dark","Verify that clicking on Back arrow in breadcrumbs of Edit Playbook form shows 'Work not saved' modal-Dark",""
"passed","Wed Nov 16 02:01:57 IST 2022","Wed Nov 16 02:02:40 IST 2022","43508","","Playbook Test Light theme","","Playbook Test Light theme","Verify that an error toast notification is shown when User creates a playbook with same name of an existing playbook-Light","Verify that an error toast notification is shown when User creates a playbook with same name of an existing playbook-Light",""
"passed","Mon Nov 14 17:33:37 IST 2022","Mon Nov 14 17:35:03 IST 2022","85945","","Incident Test Light theme","","Incident Test Light theme","Verify that clicking on help icon on Base Alerts page redirects to contextual help page-Light","Verify that clicking on help icon on Base Alerts page redirects to contextual help page-Light",""
"passed","Wed Nov 16 12:08:50 IST 2022","Wed Nov 16 12:09:37 IST 2022","46800","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that User is able to see Edit and Delete option when hovered on Filter block on main canvas area of Playbook Editor-Dark","Verify that User is able to see Edit and Delete option when hovered on Filter block on main canvas area of Playbook Editor-Dark",""
"passed","Sat Nov 12 18:06:16 IST 2022","Sat Nov 12 18:06:41 IST 2022","25510","","Connector Test Dark theme","","Connector Test Dark theme","Verify that User is able to switch between three connectors tab Enrichment, Ingestion and Response-Dark","Verify that User is able to switch between three connectors tab Enrichment, Ingestion and Response-Dark",""
"passed","Wed Nov 16 10:16:31 IST 2022","Wed Nov 16 10:16:45 IST 2022","14729","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify User should be able to click on “Create Playbook” in header which should redirect User to Create New Playbook form in Published Playbooks tab-Dark","Verify User should be able to click on “Create Playbook” in header which should redirect User to Create New Playbook form in Published Playbooks tab-Dark",""
"passed","Sat Nov 12 19:54:59 IST 2022","Sat Nov 12 19:55:07 IST 2022","8095","","Dashboard Test Light theme-SOC Manager","","Dashboard Test Light theme-SOC Manager","Verify SOC Manager  is able to view 1 week, 1 month and 3 months of timeframe breakpoint on 'MITRE Attack Metrices' widget on SOC Manager Dashboard Page.-Light","Verify SOC Manager  is able to view 1 week, 1 month and 3 months of timeframe breakpoint on 'MITRE Attack Metrices' widget on SOC Manager Dashboard Page.-Light",""
"passed","Tue Nov 15 14:49:56 IST 2022","Tue Nov 15 14:51:05 IST 2022","68330","","Incident Test Dark theme","","Incident Test Dark theme","Verify that success toast notification is shown after Delete, Kill, and Quarantine of Unassociated Alerts-Dark","Verify that success toast notification is shown after Delete, Kill, and Quarantine of Unassociated Alerts-Dark",""
"passed","Wed Nov 16 10:58:28 IST 2022","Wed Nov 16 10:59:33 IST 2022","65630","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify User is able to Export single, multiple and all Published playbooks using checkbox successfully-Dark","Verify User is able to Export single, multiple and all Published playbooks using checkbox successfully-Dark",""
"passed","Mon Nov 14 19:15:37 IST 2022","Mon Nov 14 19:16:27 IST 2022","49195","","Incident Test Light theme","","Incident Test Light theme","Verify that in User Timeline view, clicking on Add+ opens Add Filter modal-Light","Verify that in User Timeline view, clicking on Add+ opens Add Filter modal-Light",""
"passed","Sat Nov 12 19:45:50 IST 2022","Sat Nov 12 19:46:37 IST 2022","47422","","SLA Test Dark theme","","SLA Test Dark theme","Verify that in SLA Configuration tab, after SLAs are added for all incident type, a toast notification is shown 'SLA added for all incident types' when clicking on 'Add SLA For Incident Type' button-Dark","Verify that in SLA Configuration tab, after SLAs are added for all incident type, a toast notification is shown 'SLA added for all incident types' when clicking on 'Add SLA For Incident Type' button-Dark",""
"passed","Sat Nov 12 18:39:54 IST 2022","Sat Nov 12 18:40:59 IST 2022","65349","","Connector Test Light theme","","Connector Test Light theme","Verify that User is able to configure a instance for a connector successfully-Light","Verify that User is able to configure a instance for a connector successfully-Light",""
"passed","Tue Nov 15 15:12:29 IST 2022","Tue Nov 15 15:13:09 IST 2022","39726","","Incident Test Dark theme","","Incident Test Dark theme","Verify the validation messages in Add Note modal from Incident Summary right panel-Dark","Verify the validation messages in Add Note modal from Incident Summary right panel-Dark",""
"passed","Mon Nov 14 19:29:59 IST 2022","Mon Nov 14 19:30:50 IST 2022","50745","","Incident Test Light theme","","Incident Test Light theme","Verify that User is able to see entries in Notes section date-time wise in descending order on right side of “Incident Canvas/View Audit Report” modal-Light","Verify that User is able to see entries in Notes section date-time wise in descending order on right side of “Incident Canvas/View Audit Report” modal-Light",""
"passed","Wed Nov 16 03:08:34 IST 2022","Wed Nov 16 03:09:25 IST 2022","50780","","Playbook Test Light theme","","Playbook Test Light theme","Verify that clicking on Cancel when adding selected function shows list of external functions right panel again-Light","Verify that clicking on Cancel when adding selected function shows list of external functions right panel again-Light",""
"passed","Wed Nov 16 02:38:44 IST 2022","Wed Nov 16 02:39:20 IST 2022","35723","","Playbook Test Light theme","","Playbook Test Light theme","Verify that user is able to draw connection line from added available block to Stop block in Playbook Editor page-Light","Verify that user is able to draw connection line from added available block to Stop block in Playbook Editor page-Light",""
"passed","Wed Nov 16 02:50:49 IST 2022","Wed Nov 16 02:51:54 IST 2022","64697","","Playbook Test Light theme","","Playbook Test Light theme","Verify that User is able to add and apply more filters to already existing applied filters in Playbook list view-Light","Verify that User is able to add and apply more filters to already existing applied filters in Playbook list view-Light",""
"passed","Wed Nov 16 02:40:34 IST 2022","Wed Nov 16 02:41:22 IST 2022","48162","","Playbook Test Light theme","","Playbook Test Light theme","Verify that clicking on 'Clear n Filters' clears the Selected Filters section of Add Filter window-Light","Verify that clicking on 'Clear n Filters' clears the Selected Filters section of Add Filter window-Light",""
"passed","Wed Nov 16 12:04:36 IST 2022","Wed Nov 16 12:05:25 IST 2022","49502","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that user is able to move Filter block in main canvas area-Dark","Verify that user is able to move Filter block in main canvas area-Dark",""
"passed","Wed Nov 16 01:58:02 IST 2022","Wed Nov 16 01:58:22 IST 2022","20290","","Playbook Test Light theme","","Playbook Test Light theme","Verify Tags column does not show more than 5 tags in Draft Playbooks list-Light","Verify Tags column does not show more than 5 tags in Draft Playbooks list-Light",""
"passed","Sat Nov 12 19:38:05 IST 2022","Sat Nov 12 19:38:17 IST 2022","11749","","Dashboard Test Dark theme-SOC Manager","","Dashboard Test Dark theme-SOC Manager","Verify SOC Manager is able to view timeframe breakpoints on 'ROI' widget of SOC Manager Dashboard Page.-Dark","Verify SOC Manager is able to view timeframe breakpoints on 'ROI' widget of SOC Manager Dashboard Page.-Dark",""
"passed","Wed Nov 16 03:19:05 IST 2022","Wed Nov 16 03:19:54 IST 2022","48776","","Playbook Test Light theme","","Playbook Test Light theme","Verify is user is able to able to select and save an internal function block successfully in Playbook Editor page-Light","Verify is user is able to able to select and save an internal function block successfully in Playbook Editor page-Light",""
"passed","Wed Nov 16 03:01:44 IST 2022","Wed Nov 16 03:02:35 IST 2022","50384","","Playbook Test Light theme","","Playbook Test Light theme","Verify that User is able to switch between AVAILABLE FILTERS entities and see the listed attributes-Light","Verify that User is able to switch between AVAILABLE FILTERS entities and see the listed attributes-Light",""
